sku,product_name,category,supplier,price,current_stock,reorder_level,warehouse,sale_date,quantity,revenue
ELEC-TV-001,Smart LED TV,Electronics,Nexus Electronics,499.99,8,10,WH-NORTH,2026-05-07,1,499.99
GROC-MILK-002,Organic Almond Milk,Groceries,Green Fields Agro,4.5,120,40,WH-WEST,2026-05-07,16,72.0
APP-JEANS-003,Men's Slim Fit Jeans,Apparels,Stitch & Loom,39.99,14,30,WH-SOUTH,2026-05-07,4,159.96
HOME-CHAIR-004,Ergonomic Office Chair,Home Goods,Apex Comforts,149.99,42,15,WH-EAST,2026-05-07,2,299.98
BEAU-CREAM-005,Anti-Aging Face Cream,Beauty,Aura Essentials,29.99,250,20,WH-NORTH,2026-05-07,1,29.99
ELEC-TV-001,Smart LED TV,Electronics,Nexus Electronics,499.99,8,10,WH-NORTH,2026-05-08,1,499.99
GROC-MILK-002,Organic Almond Milk,Groceries,Green Fields Agro,4.5,120,40,WH-WEST,2026-05-08,39,175.5
APP-JEANS-003,Men's Slim Fit Jeans,Apparels,Stitch & Loom,39.99,14,30,WH-SOUTH,2026-05-08,7,279.93
HOME-CHAIR-004,Ergonomic Office Chair,Home Goods,Apex Comforts,149.99,42,15,WH-EAST,2026-05-08,6,899.94
BEAU-CREAM-005,Anti-Aging Face Cream,Beauty,Aura Essentials,29.99,250,20,WH-NORTH,2026-05-08,1,29.99
ELEC-TV-001,Smart LED TV,Electronics,Nexus Electronics,499.99,8,10,WH-NORTH,2026-05-09,1,499.99
GROC-MILK-002,Organic Almond Milk,Groceries,Green Fields Agro,4.5,120,40,WH-WEST,2026-05-09,31,139.5
APP-JEANS-003,Men's Slim Fit Jeans,Apparels,Stitch & Loom,39.99,14,30,WH-SOUTH,2026-05-09,6,239.94
HOME-CHAIR-004,Ergonomic Office Chair,Home Goods,Apex Comforts,149.99,42,15,WH-EAST,2026-05-09,2,299.98
BEAU-CREAM-005,Anti-Aging Face Cream,Beauty,Aura Essentials,29.99,250,20,WH-NORTH,2026-05-09,1,29.99
ELEC-TV-001,Smart LED TV,Electronics,Nexus Electronics,499.99,8,10,WH-NORTH,2026-05-10,1,499.99
GROC-MILK-002,Organic Almond Milk,Groceries,Green Fields Agro,4.5,120,40,WH-WEST,2026-05-10,57,256.5
APP-JEANS-003,Men's Slim Fit Jeans,Apparels,Stitch & Loom,39.99,14,30,WH-SOUTH,2026-05-10,6,239.94
HOME-CHAIR-004,Ergonomic Office Chair,Home Goods,Apex Comforts,149.99,42,15,WH-EAST,2026-05-10,6,899.94
BEAU-CREAM-005,Anti-Aging Face Cream,Beauty,Aura Essentials,29.99,250,20,WH-NORTH,2026-05-10,1,29.99
ELEC-TV-001,Smart LED TV,Electronics,Nexus Electronics,499.99,8,10,WH-NORTH,2026-05-11,1,499.99
GROC-MILK-002,Organic Almond Milk,Groceries,Green Fields Agro,4.5,120,40,WH-WEST,2026-05-11,12,54.0
APP-JEANS-003,Men's Slim Fit Jeans,Apparels,Stitch & Loom,39.99,14,30,WH-SOUTH,2026-05-11,4,159.96
HOME-CHAIR-004,Ergonomic Office Chair,Home Goods,Apex Comforts,149.99,42,15,WH-EAST,2026-05-11,1,149.99
BEAU-CREAM-005,Anti-Aging Face Cream,Beauty,Aura Essentials,29.99,250,20,WH-NORTH,2026-05-11,1,29.99
GROC-MILK-002,Organic Almond Milk,Groceries,Green Fields Agro,4.5,120,40,WH-WEST,2026-05-12,41,184.5
APP-JEANS-003,Men's Slim Fit Jeans,Apparels,Stitch & Loom,39.99,14,30,WH-SOUTH,2026-05-12,2,79.98
HOME-CHAIR-004,Ergonomic Office Chair,Home Goods,Apex Comforts,149.99,42,15,WH-EAST,2026-05-12,3,449.97
BEAU-CREAM-005,Anti-Aging Face Cream,Beauty,Aura Essentials,29.99,250,20,WH-NORTH,2026-05-12,1,29.99
ELEC-TV-001,Smart LED TV,Electronics,Nexus Electronics,499.99,8,10,WH-NORTH,2026-05-13,1,499.99
